style,avg_excess_ret,liquidity_beta
Dedicated Short Bias,0.0007742509705409579,-0.13937869510120487
Global Macro,0.0042126038355126665,0.17075691807602736
Managed Futures,0.005745304605809729,0.29731355715609065
Equity Market Neutral,0.004881159677473553,0.3303179381896695
Fixed Income Arbitrage,0.0046861133543501495,0.34103424330567567
Long/Short Equity,0.007662727393005362,0.3575955148034232
Fund of Funds,0.004431939496092096,0.3858303168222553
Multi-Strategy,0.005457960807946097,0.389407399085443
Event Driven,0.0056560192414654795,0.5277057425778039
Convertible Arbitrage,0.0017460210541606158,0.755281577158003
Emerging Markets,0.006825095128823473,0.9501601587298132
