month,Convertible Arbitrage,Dedicated Short Bias,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Fund of Funds,Global Macro,Long/Short Equity,Managed Futures,Multi-Strategy
1994-01-31,27.0,9.0,39.0,14.0,67.0,15.0,205.0,45.0,185.0,,27.0
1994-02-28,28.0,9.0,41.0,14.0,67.0,15.0,209.0,46.0,191.0,,27.0
1994-03-31,30.0,9.0,41.0,14.0,69.0,15.0,213.0,46.0,193.0,,29.0
1994-04-30,30.0,9.0,43.0,16.0,71.0,16.0,223.0,46.0,195.0,,31.0
1994-05-31,31.0,9.0,44.0,17.0,73.0,18.0,228.0,46.0,196.0,,32.0
1994-06-30,31.0,9.0,47.0,18.0,75.0,22.0,235.0,47.0,201.0,,32.0
1994-07-31,34.0,10.0,47.0,18.0,78.0,25.0,246.0,47.0,202.0,,35.0
1994-08-31,35.0,10.0,47.0,19.0,79.0,26.0,249.0,47.0,203.0,,36.0
1994-09-30,38.0,10.0,52.0,20.0,81.0,26.0,253.0,49.0,205.0,,35.0
1994-10-31,39.0,10.0,54.0,20.0,81.0,27.0,261.0,49.0,215.0,,34.0
1994-11-30,39.0,11.0,57.0,21.0,82.0,27.0,268.0,50.0,220.0,,34.0
1994-12-31,39.0,11.0,57.0,20.0,82.0,27.0,267.0,51.0,222.0,,34.0
1995-01-31,42.0,11.0,61.0,24.0,90.0,27.0,285.0,54.0,236.0,,35.0
1995-02-28,43.0,11.0,63.0,23.0,90.0,27.0,288.0,54.0,240.0,,36.0
1995-03-31,43.0,11.0,63.0,24.0,92.0,28.0,294.0,54.0,240.0,,36.0
1995-04-30,45.0,11.0,69.0,24.0,97.0,29.0,302.0,53.0,249.0,,37.0
1995-05-31,45.0,10.0,77.0,24.0,99.0,29.0,310.0,55.0,252.0,,38.0
1995-06-30,45.0,10.0,77.0,25.0,100.0,29.0,313.0,55.0,254.0,,38.0
1995-07-31,45.0,10.0,83.0,27.0,101.0,30.0,312.0,56.0,262.0,,39.0
1995-08-31,46.0,10.0,87.0,28.0,102.0,33.0,314.0,57.0,265.0,,39.0
1995-09-30,46.0,10.0,89.0,28.0,102.0,35.0,319.0,57.0,266.0,,39.0
1995-10-31,47.0,10.0,89.0,28.0,107.0,37.0,321.0,60.0,277.0,,40.0
1995-11-30,48.0,10.0,89.0,28.0,108.0,38.0,324.0,61.0,280.0,,41.0
1995-12-31,48.0,10.0,91.0,29.0,109.0,37.0,331.0,62.0,284.0,,42.0
1996-01-31,52.0,10.0,93.0,33.0,118.0,39.0,342.0,60.0,310.0,,43.0
1996-02-29,52.0,10.0,93.0,33.0,120.0,39.0,347.0,64.0,313.0,,43.0
1996-03-31,52.0,10.0,95.0,34.0,123.0,44.0,350.0,64.0,316.0,,47.0
1996-04-30,51.0,10.0,101.0,34.0,124.0,44.0,354.0,64.0,329.0,,48.0
1996-05-31,51.0,11.0,102.0,35.0,129.0,47.0,360.0,63.0,339.0,,50.0
1996-06-30,51.0,11.0,106.0,36.0,131.0,47.0,360.0,63.0,346.0,,51.0
1996-07-31,53.0,11.0,108.0,37.0,134.0,49.0,363.0,60.0,359.0,,51.0
1996-08-31,50.0,11.0,109.0,38.0,135.0,50.0,367.0,62.0,364.0,,52.0
1996-09-30,48.0,10.0,109.0,39.0,139.0,49.0,367.0,61.0,370.0,,54.0
1996-10-31,51.0,11.0,109.0,40.0,139.0,50.0,368.0,60.0,375.0,,55.0
1996-11-30,51.0,13.0,112.0,40.0,140.0,50.0,370.0,61.0,381.0,,55.0
1996-12-31,52.0,13.0,112.0,40.0,140.0,50.0,378.0,61.0,386.0,,57.0
1997-01-31,52.0,15.0,117.0,42.0,146.0,52.0,389.0,64.0,412.0,,59.0
1997-02-28,53.0,15.0,124.0,45.0,146.0,53.0,389.0,64.0,420.0,,59.0
1997-03-31,53.0,15.0,127.0,48.0,147.0,53.0,391.0,63.0,427.0,,61.0
