style,months,mean_ret,std_ret,avg_n_funds
Convertible Arbitrage,180,0.0017460210541606158,0.01968902940248748,83.22777777777777
Dedicated Short Bias,180,0.0007742509705409579,0.045588998657319114,19.45
Emerging Markets,180,0.006825095128823473,0.04359979582231701,196.36666666666667
Equity Market Neutral,180,0.004881159677473553,0.010365115479344359,121.57777777777778
Event Driven,180,0.0056560192414654795,0.01843159289211907,250.5222222222222
Fixed Income Arbitrage,180,0.0046861133543501495,0.020640157134885262,91.46111111111111
Fund of Funds,180,0.004431939496092096,0.018057533071545003,876.1
Global Macro,180,0.0042126038355126665,0.018231204093572505,122.54444444444445
Long/Short Equity,180,0.007662727393005362,0.02692208283547108,840.5055555555556
Managed Futures,99,0.005745304605809729,0.03447540904253501,2.303030303030303
Multi-Strategy,180,0.005457960807946097,0.014019370209055191,180.65555555555557
