year,n_rep,minimum,p01,p25,p50,p75,p99,maximum,std
1994,823,-0.234637966192658,-0.10666355095981801,-0.01969181615656004,-0.0028161909338474903,0.012407569406645958,0.11407753348160239,0.314921213741067,0.040354484071452715
1995,1069,-0.2076410686859295,-0.09565635328470845,-0.006963697995261077,0.006953846714865926,0.022348694041815022,0.14310439008097142,0.5590439092063546,0.045803281512236664
1996,1352,-0.37953913468145317,-0.0996780708404126,-0.006179601499273313,0.008388791012516076,0.024817032117073787,0.15860279729882157,1.3044077873247397,0.07013397414117352
1997,1616,-0.4368333284014016,-0.12481791250776635,-0.008038775869969523,0.009400877899401637,0.028070586899915793,0.16211557092003925,0.491323919375621,0.051544322367282465
1998,1909,-0.46582413399855643,-0.20534348180972217,-0.022107573210145417,0.0005254234385605703,0.02264420444321516,0.16609357509407044,4.166305581777641,0.13530968647599673
1999,2207,-0.4158157031341219,-0.1216435244642633,-0.005685343097396367,0.011679453463088659,0.035503204588433056,0.21835991889578502,2.470461669595108,0.09943415145540724
2000,2529,-0.5447568995219091,-0.17574399631712154,-0.01927648028667285,0.003568810857989088,0.02432318722406754,0.2005445238185454,3.368123891786512,0.11212891540703297
2001,2909,-0.5167388799094371,-0.13618435544898258,-0.01136013182641031,0.0024679227769179948,0.015846563824292396,0.1437833588929244,2.7029107353887674,0.08274952895911634
2002,3316,-0.4460701571276846,-0.1076537072289948,-0.010407817007026804,0.0010591651420476585,0.01215245342701021,0.11036208721292697,5.138172620789594,0.10849766601668061
2003,3793,-0.4506694238769566,-0.05870072744403352,0.00028563636711608463,0.00869423011608053,0.021239081112771774,0.12418331511836307,2.668003967664507,0.06527502636156064
2004,4327,-0.31382696766093465,-0.06206836916802828,-0.0036268546060034047,0.004882144781999495,0.014121575171548814,0.08722535047141483,3.267839314836628,0.0850489554716043
2005,4878,-0.6333081329350982,-0.06097049578812319,-0.005414463055628081,0.0035302921036369293,0.014169419602782814,0.08886507888643014,4.127249683561435,0.08429821770189587
2006,5185,-0.6276387757101383,-0.06443990275347115,-0.004008205974293909,0.005038972584827016,0.015472488797990987,0.09262016694587337,3.520322044339457,0.07167815989924094
2007,5410,-0.8045015945519621,-0.07286725824431226,-0.006411641741351636,0.004132993522437821,0.01637569214228573,0.10577846518321526,1.9870385016143333,0.05527402777501242
2008,5266,-0.7286602271531128,-0.18672437654828355,-0.037540581899777895,-0.014969504700530769,0.005237303912256744,0.10780557601067449,1.7745578246055926,0.0667760872496151
