style,n_rep,minimum,p01,p25,p50,p75,p99,maximum,std
Convertible Arbitrage,207,-0.09254601410572862,-0.0615862330562601,-0.0058883241678993215,0.002044263055836653,0.00997203124466153,0.0586339167071868,0.08705741372212863,0.024238093442465244
Dedicated Short Bias,48,-0.08999275806298314,-0.08438851451742892,-0.02456971664802515,0.0017144854085438443,0.026089131947411203,0.08622841780678484,0.09200753723441818,0.04634751834268272
Emerging Markets,683,-0.24276579669071954,-0.1296598799625373,-0.023176665572061085,0.0035317492951764977,0.033203880902085106,0.17698548778222256,0.2792860688316576,0.06225078887548564
Equity Market Neutral,417,-0.11746779394052836,-0.07585024647301632,-0.007788201456049579,0.0036025935419241187,0.016587610898815188,0.0903355432594507,0.1659911709565001,0.03575918892197757
Event Driven,651,-0.15287068883572627,-0.06634373364128644,-0.0061081172044964915,0.003846513996978279,0.014621988952969726,0.09292333944695111,0.3074050222262303,0.03934099857365946
Fixed Income Arbitrage,268,-0.11000448805626577,-0.07635575789058839,-0.0044139733926871075,0.004421587749137405,0.01219535146135426,0.10375276391759784,0.1983206246358961,0.04006044166798169
Fund of Funds,2458,-0.24404770586336413,-0.07541961387125075,-0.008140792836617446,0.0023265727139508505,0.012590900420729446,0.07954367397988324,1.803904965141867,0.08289691501228069
Global Macro,470,-0.23280275447367893,-0.12396365748205883,-0.018015387844479414,0.0030291697074850874,0.024747539788570725,0.14106377547188548,0.23515075479768194,0.055410974896801204
Long/Short Equity,2509,-0.28863725974151766,-0.11594058558926187,-0.01622731393844596,0.0058675865521803545,0.02909890516035918,0.14647794768666483,0.5301736755724072,0.05506764889314012
Managed Futures,3,-0.007056725909492162,-0.006794019313584855,-0.0004890610118094637,0.006078603885873235,0.012146319863460675,0.01797132720194462,0.018214035841048117,0.016167458628505903
Multi-Strategy,631,-0.16312496448596103,-0.07898205555320631,-0.006187996903528974,0.004177444096083995,0.015655003555941738,0.09383911749030226,0.32564544352691455,0.042230612823423046
