row_factor,col_factor,corr_target,corr_rep,diff,abs_diff,sign_match,within_0p05,pvalue_rep_n180
SMB,MKT-RF,0.21,0.1817,-0.0283,0.0283,True,True,0.0147
DTERM,MKT-RF,0.03,0.0343,0.0043,0.0043,True,True,0.6478
DTERM,SMB,0.05,0.0522,0.0022,0.0022,True,True,0.4862
DCREDIT,MKT-RF,-0.38,-0.3561,0.0239,0.0239,True,True,0.0
DCREDIT,SMB,-0.23,-0.2273,0.0027,0.0027,True,True,0.0021
DCREDIT,DTERM,-0.48,-0.4788,0.0012,0.0012,True,True,0.0
PTFSBD,MKT-RF,-0.17,-0.1759,-0.0059,0.0059,True,True,0.0182
PTFSBD,SMB,-0.03,-0.035,-0.005,0.005,True,True,0.641
PTFSBD,DTERM,-0.13,-0.1355,-0.0055,0.0055,True,True,0.0697
PTFSBD,DCREDIT,0.15,0.1597,0.0097,0.0097,True,True,0.0322
PTFSFX,MKT-RF,-0.19,-0.1869,0.0031,0.0031,True,True,0.012
PTFSFX,SMB,0.02,0.0176,-0.0024,0.0024,True,True,0.8148
PTFSFX,DTERM,-0.17,-0.1747,-0.0047,0.0047,True,True,0.019
PTFSFX,DCREDIT,0.29,0.2895,-0.0005,0.0005,True,True,0.0001
PTFSFX,PTFSBD,0.19,0.1896,-0.0004,0.0004,True,True,0.0108
PTFSCOM,MKT-RF,-0.15,-0.1554,-0.0054,0.0054,True,True,0.0372
PTFSCOM,SMB,-0.01,-0.015,-0.005,0.005,True,True,0.8419
PTFSCOM,DTERM,-0.08,-0.0834,-0.0034,0.0034,True,True,0.2656
PTFSCOM,DCREDIT,0.19,0.1921,0.0021,0.0021,True,True,0.0098
PTFSCOM,PTFSBD,0.18,0.1625,-0.0175,0.0175,True,True,0.0293
PTFSCOM,PTFSFX,0.36,0.3415,-0.0185,0.0185,True,True,0.0
Liquidity,MKT-RF,0.13,0.1379,0.0079,0.0079,True,True,0.0649
Liquidity,SMB,0.07,0.0834,0.0134,0.0134,True,True,0.2655
Liquidity,DTERM,0.08,0.092,0.012,0.012,True,True,0.2191
Liquidity,DCREDIT,-0.34,-0.3897,-0.0497,0.0497,True,True,0.0
Liquidity,PTFSBD,-0.01,-0.0514,-0.0414,0.0414,True,True,0.4931
Liquidity,PTFSFX,-0.1,-0.1291,-0.0291,0.0291,True,True,0.0841
Liquidity,PTFSCOM,-0.08,-0.0915,-0.0115,0.0115,True,True,0.2219
