style,spec,coef_target,coef,tstat_target,tstat,same_coef_sign,sig_match_5pct
Convertible Arbitrage,model1,1.2795,1.3898720205037947,6.08,6.511356745375919,True,True
Convertible Arbitrage,model2,0.7759,0.755281577158003,4.17,3.9198017406305676,True,True
Dedicated Short Bias,model1,0.3272,0.33349695523414025,0.89,0.9540271637978215,True,True
Dedicated Short Bias,model2,-0.1554,-0.13937869510120487,-0.51,-0.48243518179410033,True,True
Emerging Markets,model1,1.5267,1.4212869869241578,3.32,3.0671961701502006,True,True
Emerging Markets,model2,1.1302,0.9501601587298132,2.41,1.9729950613005587,True,True
Equity Market Neutral,model1,0.7026,0.44380103878282096,5.16,3.2802860187510197,True,True
Equity Market Neutral,model2,0.4686,0.3303179381896695,3.59,2.283629652829372,True,True
Event Driven,model1,0.8787,0.8540254975249557,5.74,4.743641556204361,True,True
Event Driven,model2,0.5316,0.5277057425778039,4.1,3.028070357783495,True,True
Fixed Income Arbitrage,model1,0.9383,0.677005489020271,4.91,2.41739946908645,True,True
Fixed Income Arbitrage,model2,0.3924,0.34103424330567567,2.51,1.156174619820018,True,False
Fund of Funds,model1,1.0914,0.65380826843849,5.07,3.1866659845395535,True,True
Fund of Funds,model2,0.7393,0.3858303168222553,3.71,1.955479812452926,True,False
Global Macro,model1,0.4228,0.1509197329411109,1.79,0.6136385181170572,True,True
Global Macro,model2,0.3772,0.17075691807602736,1.69,0.7125371257824038,True,True
Long/Short Equity,model1,0.9068,0.44847171915071915,3.84,2.064007228357851,True,True
Long/Short Equity,model2,0.8109,0.3575955148034232,3.73,1.9619860834146539,True,True
Managed Futures,model1,0.3399,0.19609112944578908,0.79,0.3534839112457743,True,True
Managed Futures,model2,0.3949,0.29731355715609065,0.99,0.5207079644979993,True,True
Multi-Strategy,model1,1.5325,0.5665858884940496,5.08,4.081583505778847,True,True
Multi-Strategy,model2,1.4195,0.389407399085443,4.89,2.7129750558679735,True,True
