style,spec,term,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type
Convertible Arbitrage,model1,Intercept,0.0011168227589342015,0.9964007877571709,0.3204156663626254,180,0.42606693470706625,0.4195818153252252,ols
Convertible Arbitrage,model1,MKT-RF,0.21562917607389018,8.44605522347161,1.0642036592252987e-14,180,0.42606693470706625,0.4195818153252252,ols
Convertible Arbitrage,model1,Liquidity,1.3898720205037947,6.511356745375919,7.434743986121168e-10,180,0.42606693470706625,0.4195818153252252,ols
Convertible Arbitrage,model2,Intercept,0.0022283303258964033,2.345886402192496,0.020128528732390835,180,0.6152352476773634,0.5972345575102225,ols
Convertible Arbitrage,model2,MKT-RF,0.13011005815565574,5.569935656724388,9.72638126942698e-08,180,0.6152352476773634,0.5972345575102225,ols
Convertible Arbitrage,model2,SMB,0.020453284830133183,0.7874066885944021,0.4321338618901046,180,0.6152352476773634,0.5972345575102225,ols
Convertible Arbitrage,model2,DTERM,-0.022578298796002164,-4.932941108733996,1.908192350712408e-06,180,0.6152352476773634,0.5972345575102225,ols
Convertible Arbitrage,model2,DCREDIT,-0.05816597881872917,-7.972737636982681,2.1161855259319649e-13,180,0.6152352476773634,0.5972345575102225,ols
Convertible Arbitrage,model2,PTFSBD,-0.010315675760444041,-1.5905842815739872,0.11355020335738886,180,0.6152352476773634,0.5972345575102225,ols
Convertible Arbitrage,model2,PTFSFX,-0.006110684376328576,-1.1721043835602531,0.24278554753606132,180,0.6152352476773634,0.5972345575102225,ols
Convertible Arbitrage,model2,PTFSCOM,-0.007056158334413952,-0.9667411731021587,0.33503870753288256,180,0.6152352476773634,0.5972345575102225,ols
Convertible Arbitrage,model2,Liquidity,0.755281577158003,3.9198017406305676,0.0001280238484341671,180,0.6152352476773634,0.5972345575102225,ols
Dedicated Short Bias,model1,Intercept,0.003465534018989324,1.8879572769325277,0.06066794956426622,180,0.7128919456553633,0.7096477868492093,ols
Dedicated Short Bias,model1,MKT-RF,-0.8727387540529289,-20.87386372042172,1.3287499096270964e-49,180,0.7128919456553633,0.7096477868492093,ols
Dedicated Short Bias,model1,Liquidity,0.33349695523414025,0.9540271637978215,0.34137097293033786,180,0.7128919456553633,0.7096477868492093,ols
Dedicated Short Bias,model2,Intercept,0.005021303408574716,3.5255853958055003,0.0005424012751311851,180,0.8386573988600678,0.8311092069938721,ols
Dedicated Short Bias,model2,MKT-RF,-0.8821979264429698,-25.18794331193546,1.9571790671265932e-59,180,0.8386573988600678,0.8311092069938721,ols
Dedicated Short Bias,model2,SMB,-0.42110993257046675,-10.812319876535197,4.286600118388096e-21,180,0.8386573988600678,0.8311092069938721,ols
Dedicated Short Bias,model2,DTERM,-0.014478532776981731,-2.109728819560207,0.03633712729531356,180,0.8386573988600678,0.8311092069938721,ols
Dedicated Short Bias,model2,DCREDIT,-0.06247986348384141,-5.711706346805417,4.8587696991144175e-08,180,0.8386573988600678,0.8311092069938721,ols
Dedicated Short Bias,model2,PTFSBD,0.00279466945425276,0.2873934187644065,0.7741590772661369,180,0.8386573988600678,0.8311092069938721,ols
Dedicated Short Bias,model2,PTFSFX,0.002909188553763313,0.37216512622051057,0.7102307192218121,180,0.8386573988600678,0.8311092069938721,ols
Dedicated Short Bias,model2,PTFSCOM,-0.00014843923698401075,-0.013563693846224138,0.9891938817417638,180,0.8386573988600678,0.8311092069938721,ols
Dedicated Short Bias,model2,Liquidity,-0.13937869510120487,-0.48243518179410033,0.6301138082384271,180,0.8386573988600678,0.8311092069938721,ols
Emerging Markets,model1,Intercept,0.004974514800398242,2.044389442662141,0.04239622989233822,180,0.4484120640713982,0.44217943202700727,ols
Emerging Markets,model1,MKT-RF,0.613146421786529,11.063019730286282,5.8442079216118e-22,180,0.4484120640713982,0.44217943202700727,ols
Emerging Markets,model1,Liquidity,1.4212869869241578,3.0671961701502006,0.002500189874675319,180,0.4484120640713982,0.44217943202700727,ols
Emerging Markets,model2,Intercept,0.005524838622847226,2.327131776708654,0.021130095911771812,180,0.5098522201156876,0.4869213298287023,ols
Emerging Markets,model2,MKT-RF,0.5297276035939648,9.073312807979919,2.6946678450209556e-16,180,0.5098522201156876,0.4869213298287023,ols
Emerging Markets,model2,SMB,0.1906731180016455,2.936969753336403,0.0037712158154751887,180,0.5098522201156876,0.4869213298287023,ols
Emerging Markets,model2,DTERM,0.001008367179104493,0.08814697002986449,0.9298630089500401,180,0.5098522201156876,0.4869213298287023,ols
Emerging Markets,model2,DCREDIT,-0.033324584342557334,-1.8275831502654436,0.06935514426902775,180,0.5098522201156876,0.4869213298287023,ols
Emerging Markets,model2,PTFSBD,-0.03418254769083765,-2.1088097648482425,0.03641754122268883,180,0.5098522201156876,0.4869213298287023,ols
Emerging Markets,model2,PTFSFX,0.0031496746154566282,0.2417219561654102,0.8092852433106023,180,0.5098522201156876,0.4869213298287023,ols
Emerging Markets,model2,PTFSCOM,0.006307851252566079,0.3457779647540875,0.7299346125693477,180,0.5098522201156876,0.4869213298287023,ols
Emerging Markets,model2,Liquidity,0.9501601587298132,1.9729950613005587,0.05010785103458509,180,0.5098522201156876,0.4869213298287023,ols
Equity Market Neutral,model1,Intercept,0.00466812354648522,6.570809384531652,5.398082455010407e-10,180,0.16802911183163782,0.1586283108353852,ols
Equity Market Neutral,model1,MKT-RF,0.07279695515407421,4.4986927032686745,1.234670507695725e-05,180,0.16802911183163782,0.1586283108353852,ols
Equity Market Neutral,model1,Liquidity,0.44380103878282096,3.2802860187510197,0.0012489016018358188,180,0.16802911183163782,0.1586283108353852,ols
Equity Market Neutral,model2,Intercept,0.004788023617134189,6.7146285973376605,2.6705122522869647e-10,180,0.21761773766711334,0.18101505872756307,ols
Equity Market Neutral,model2,MKT-RF,0.05392839703299489,3.0753540668600174,0.0024484022000617824,180,0.21761773766711334,0.18101505872756307,ols
Equity Market Neutral,model2,SMB,0.02280103814403689,1.1693081024913425,0.24390686099346115,180,0.21761773766711334,0.18101505872756307,ols
Equity Market Neutral,model2,DTERM,-0.0024993635724179647,-0.7274153395818251,0.46796631203664607,180,0.21761773766711334,0.18101505872756307,ols
Equity Market Neutral,model2,DCREDIT,-0.010238921590655765,-1.8695236085948967,0.06325964179519912,180,0.21761773766711334,0.18101505872756307,ols
Equity Market Neutral,model2,PTFSBD,-0.00868001434059535,-1.7828620911067443,0.07638281200397609,180,0.21761773766711334,0.18101505872756307,ols
Equity Market Neutral,model2,PTFSFX,0.0048246435159857255,1.2327640813694414,0.21935591497955448,180,0.21761773766711334,0.18101505872756307,ols
Equity Market Neutral,model2,PTFSCOM,-0.004364354590499806,-0.7965265036482024,0.42683054463483344,180,0.21761773766711334,0.18101505872756307,ols
Equity Market Neutral,model2,Liquidity,0.3303179381896695,2.283629652829372,0.023623501564493478,180,0.21761773766711334,0.18101505872756307,ols
Event Driven,model1,Intercept,0.004839346465104777,5.118949822499534,7.956755248079753e-07,180,0.5340970908040291,0.5288326511520973,ols
Event Driven,model1,MKT-RF,0.2723762899999815,12.649112155466653,1.5375674177959848e-26,180,0.5340970908040291,0.5288326511520973,ols
Event Driven,model1,Liquidity,0.8540254975249557,4.743641556204361,4.306473782242137e-06,180,0.5340970908040291,0.5288326511520973,ols
Event Driven,model2,Intercept,0.0052948208551539585,6.163077225420972,4.965917695271596e-09,180,0.6408463427972392,0.6240438325187474,ols
Event Driven,model2,MKT-RF,0.21920420118246897,10.375454074188989,7.17862000767195e-20,180,0.6408463427972392,0.6240438325187474,ols
Event Driven,model2,SMB,0.08524382471229613,3.628422841867053,0.0003762818985727423,180,0.6408463427972392,0.6240438325187474,ols
Event Driven,model2,DTERM,-0.0014387498304591871,-0.34755131157182145,0.7286045887917953,180,0.6408463427972392,0.6240438325187474,ols
Event Driven,model2,DCREDIT,-0.02457885388948336,-3.724937511430344,0.0002650880930218935,180,0.6408463427972392,0.6240438325187474,ols
Event Driven,model2,PTFSBD,-0.018971915550663326,-3.2343656634201343,0.0014634177985287469,180,0.6408463427972392,0.6240438325187474,ols
Event Driven,model2,PTFSFX,0.0012947521987043704,0.27458829886117947,0.783964011983889,180,0.6408463427972392,0.6240438325187474,ols
Event Driven,model2,PTFSCOM,-0.0016142920050340997,-0.2445360684478899,0.8071088487150996,180,0.6408463427972392,0.6240438325187474,ols
Event Driven,model2,Liquidity,0.5277057425778039,3.028070357783495,0.0028425651885717516,180,0.6408463427972392,0.6240438325187474,ols
Fixed Income Arbitrage,model1,Intercept,0.004354698343151898,2.9611979315363683,0.003485033885170696,180,0.10098952232611391,0.09083121184392318,ols
Fixed Income Arbitrage,model1,MKT-RF,0.11314256466281401,3.377784719437026,0.0008985480932081214,180,0.10098952232611391,0.09083121184392318,ols
Fixed Income Arbitrage,model1,Liquidity,0.677005489020271,2.41739946908645,0.016646662574345345,180,0.10098952232611391,0.09083121184392318,ols
Fixed Income Arbitrage,model2,Intercept,0.004823030534900751,3.3167875267561007,0.0011122423851404831,180,0.17950218116511107,0.14111631829564264,ols
Fixed Income Arbitrage,model2,MKT-RF,0.06593383642715431,1.843817304294378,0.06694033278166696,180,0.17950218116511107,0.14111631829564264,ols
Fixed Income Arbitrage,model2,SMB,-0.027538242460930208,-0.6925362093785694,0.4895400495509979,180,0.17950218116511107,0.14111631829564264,ols
Fixed Income Arbitrage,model2,DTERM,-0.02009091436373859,-2.8673760274850415,0.00465981631257419,180,0.17950218116511107,0.14111631829564264,ols
Fixed Income Arbitrage,model2,DCREDIT,-0.036670404610431154,-3.2834043310609773,0.0012437616371090688,180,0.17950218116511107,0.14111631829564264,ols
Fixed Income Arbitrage,model2,PTFSBD,-0.018733266631825753,-1.8868733505083808,0.060872067957638616,180,0.17950218116511107,0.14111631829564264,ols
Fixed Income Arbitrage,model2,PTFSFX,0.000821688019815579,0.1029564656827823,0.9181181630732363,180,0.17950218116511107,0.14111631829564264,ols
Fixed Income Arbitrage,model2,PTFSCOM,0.003479532860681905,0.311410371899046,0.7558679951404713,180,0.17950218116511107,0.14111631829564264,ols
Fixed Income Arbitrage,model2,Liquidity,0.34103424330567567,1.156174619820018,0.24922248874503525,180,0.17950218116511107,0.14111631829564264,ols
Fund of Funds,model1,Intercept,0.0037579463130300236,3.4881072996567757,0.0006137061224619936,180,0.3696030443964381,0.36247991495459,ols
Fund of Funds,model1,MKT-RF,0.2243870590934089,9.143946108527095,1.410505647388314e-16,180,0.3696030443964381,0.36247991495459,ols
Fund of Funds,model1,Liquidity,0.65380826843849,3.1866659845395535,0.0017015540594740787,180,0.3696030443964381,0.36247991495459,ols
Fund of Funds,model2,Intercept,0.004064520226897114,4.178673834027846,4.668840837165176e-05,180,0.5203510449344276,0.49791132773837743,ols
Fund of Funds,model2,MKT-RF,0.18541163524279997,7.7513628796881315,7.750704297621718e-13,180,0.5203510449344276,0.49791132773837743,ols
Fund of Funds,model2,SMB,0.1237224310633919,4.651427493936263,6.57298345081097e-06,180,0.5203510449344276,0.49791132773837743,ols
Fund of Funds,model2,DTERM,-0.007398653021850613,-1.57858929172604,0.11627836164735185,180,0.5203510449344276,0.49791132773837743,ols
Fund of Funds,model2,DCREDIT,-0.027280969042716187,-3.651741289992651,0.00034596454514210885,180,0.5203510449344276,0.49791132773837743,ols
Fund of Funds,model2,PTFSBD,-0.007486684255212057,-1.127328011012071,0.2611831937064826,180,0.5203510449344276,0.49791132773837743,ols
Fund of Funds,model2,PTFSFX,0.011755769141036536,2.202060586867777,0.02899917345007588,180,0.5203510449344276,0.49791132773837743,ols
Fund of Funds,model2,PTFSCOM,0.015297594387352393,2.046759509347666,0.042212252087715424,180,0.5203510449344276,0.49791132773837743,ols
Fund of Funds,model2,Liquidity,0.3858303168222553,1.955479812452926,0.05215618145512803,180,0.5203510449344276,0.49791132773837743,ols
Global Macro,model1,Intercept,0.0038057136285332563,2.946834994926603,0.0036429775171152147,180,0.11133240874601413,0.10129096703692964,ols
