style,spec,DCREDIT,DTERM,Intercept,Liquidity,MKT-RF,PTFSBD,PTFSCOM,PTFSFX,SMB
Convertible Arbitrage,model1,,,0.0011168227589342015,1.3898720205037947,0.21562917607389018,,,,
Convertible Arbitrage,model2,-0.05816597881872917,-0.022578298796002164,0.0022283303258964033,0.755281577158003,0.13011005815565574,-0.010315675760444041,-0.007056158334413952,-0.006110684376328576,0.020453284830133183
Dedicated Short Bias,model1,,,0.003465534018989324,0.33349695523414025,-0.8727387540529289,,,,
Dedicated Short Bias,model2,-0.06247986348384141,-0.014478532776981731,0.005021303408574716,-0.13937869510120487,-0.8821979264429698,0.00279466945425276,-0.00014843923698401075,0.002909188553763313,-0.42110993257046675
Emerging Markets,model1,,,0.004974514800398242,1.4212869869241578,0.613146421786529,,,,
Emerging Markets,model2,-0.033324584342557334,0.001008367179104493,0.005524838622847226,0.9501601587298132,0.5297276035939648,-0.03418254769083765,0.006307851252566079,0.0031496746154566282,0.1906731180016455
Equity Market Neutral,model1,,,0.00466812354648522,0.44380103878282096,0.07279695515407421,,,,
Equity Market Neutral,model2,-0.010238921590655765,-0.0024993635724179647,0.004788023617134189,0.3303179381896695,0.05392839703299489,-0.00868001434059535,-0.004364354590499806,0.0048246435159857255,0.02280103814403689
Event Driven,model1,,,0.004839346465104777,0.8540254975249557,0.2723762899999815,,,,
Event Driven,model2,-0.02457885388948336,-0.0014387498304591871,0.0052948208551539585,0.5277057425778039,0.21920420118246897,-0.018971915550663326,-0.0016142920050340997,0.0012947521987043704,0.08524382471229613
Fixed Income Arbitrage,model1,,,0.004354698343151898,0.677005489020271,0.11314256466281401,,,,
Fixed Income Arbitrage,model2,-0.036670404610431154,-0.02009091436373859,0.004823030534900751,0.34103424330567567,0.06593383642715431,-0.018733266631825753,0.003479532860681905,0.000821688019815579,-0.027538242460930208
Fund of Funds,model1,,,0.0037579463130300236,0.65380826843849,0.2243870590934089,,,,
Fund of Funds,model2,-0.027280969042716187,-0.007398653021850613,0.004064520226897114,0.3858303168222553,0.18541163524279997,-0.007486684255212057,0.015297594387352393,0.011755769141036536,0.1237224310633919
Global Macro,model1,,,0.0038057136285332563,0.1509197329411109,0.1335376392815772,,,,
Global Macro,model2,-0.014912597298397912,-0.013375839944561409,0.003466968589219319,0.17075691807602736,0.13825954084542383,-0.011678870868228067,0.01748241101645173,0.0326973661580383,0.03443154176182683
Long/Short Equity,model1,,,0.006163475021683159,0.44847171915071915,0.49119112447186486,,,,
Long/Short Equity,model2,-0.0007965056830983256,0.0006503284139324399,0.005984071633856557,0.3575955148034232,0.4574972156940909,-0.002181333703080989,0.006888067237331221,0.005050941105753281,0.2625834220403858
Managed Futures,model1,,,0.005597911189656138,0.19609112944578908,-0.033117146841797944,,,,
Managed Futures,model2,-0.011180251219918051,-0.005938781762531554,0.004377752578441675,0.29731355715609065,0.022944070725581904,0.0045166303870239595,-0.03010413397257429,0.08301692003760432,0.006245880844426396
Multi-Strategy,model1,,,0.004829639854391729,0.5665858884940496,0.20884288208051788,,,,
Multi-Strategy,model2,-0.016874456451610925,-0.0055036836481720105,0.005076586517287911,0.389407399085443,0.18331421507484416,-0.004131655410472074,0.006824231223903229,0.002181246981391701,0.05385782997123037
